rank,call_freq,name,type,layer,nelisp_coverage
134,705,char-before,fn,substrate/ui,MISSING
135,702,signal,fn,runtime,runtime-ok
136,699,make-string,fn,runtime,runtime-ok
137,696,widen,fn,substrate/ui,MISSING
138,665,set-marker,fn,substrate/ui,MISSING
139,657,functionp,fn,runtime,runtime-ok
140,650,make-local-variable,fn,substrate/ui,MISSING
141,650,buffer-file-name,fn,substrate/ui,MISSING
142,639,call-interactively,fn,substrate/ui,MISSING
143,639,backward-char,fn,substrate/ui,MISSING
144,636,sort,fn,runtime,runtime-ok
145,635,following-char,fn,substrate/ui,MISSING
146,615,file-directory-p,fn,runtime,runtime-ok
147,611,selected-window,fn,substrate/ui,MISSING
148,590,make-sparse-keymap,fn,substrate/ui,MISSING
149,564,get-buffer,fn,substrate/ui,MISSING
150,562,read-string,fn,substrate/ui,MISSING
151,560,read,fn,runtime,runtime-ok
152,558,prefix-numeric-value,fn,runtime,MISSING
153,553,point-marker,fn,substrate/ui,MISSING
154,550,float,fn,runtime,runtime-ok
155,544,completing-read,fn,substrate/ui,MISSING
156,541,copy-sequence,fn,runtime,runtime-ok
157,540,bobp,fn,substrate/ui,MISSING
158,533,buffer-string,fn,substrate/ui,source-unbootstrapped
159,501,get-buffer-window,fn,substrate/ui,MISSING
160,495,reverse,fn,runtime,runtime-ok
161,486,puthash,fn,runtime,runtime-ok
162,483,featurep,fn,runtime,runtime-ok
163,474,buffer-live-p,fn,substrate/ui,MISSING
164,467,number-to-string,fn,runtime,runtime-ok
165,435,preceding-char,fn,substrate/ui,MISSING
166,426,char-to-string,fn,runtime,runtime-ok
167,415,insert-file-contents,fn,substrate/ui,source-unbootstrapped
168,408,logand,fn,runtime,runtime-ok
169,407,format-message,fn,runtime,MISSING
170,405,make-hash-table,fn,runtime,runtime-ok
171,404,delete,fn,runtime,MISSING
172,400,eolp,fn,substrate/ui,MISSING
173,395,marker-position,fn,substrate/ui,MISSING
174,385,load,fn,runtime,runtime-ok
175,377,eql,fn,runtime,runtime-ok
176,376,file-name-as-directory,fn,runtime,runtime-ok
177,375,abs,fn,runtime,runtime-ok
178,374,make-symbol,fn,runtime,runtime-ok
179,372,copy-marker,fn,substrate/ui,MISSING
180,365,window-buffer,fn,substrate/ui,MISSING
181,362,add-text-properties,fn,substrate/ui,MISSING
182,359,indent-to,fn,substrate/ui,MISSING
183,344,marker-buffer,fn,substrate/ui,MISSING
184,342,mod,fn,runtime,runtime-ok
185,340,file-attributes,fn,runtime,MISSING
186,338,set-buffer-modified-p,fn,substrate/ui,MISSING
187,323,format-time-string,fn,runtime,MISSING
188,322,plist-put,fn,runtime,runtime-ok
189,321,file-readable-p,fn,runtime,runtime-ok
190,321,default-value,fn,runtime,MISSING
191,320,upcase,fn,runtime,runtime-ok
192,320,buffer-modified-p,fn,substrate/ui,MISSING
193,318,string-search,fn,runtime,runtime-ok
194,311,process-buffer,fn,substrate/ui,MISSING
195,306,selected-frame,fn,substrate/ui,MISSING
196,303,current-indentation,fn,substrate/ui,MISSING
197,301,directory-file-name,fn,runtime,runtime-ok
198,297,insert-buffer-substring,fn,substrate/ui,MISSING
199,296,ash,fn,runtime,runtime-ok
200,293,region-beginning,fn,substrate/ui,MISSING
201,293,buffer-size,fn,substrate/ui,MISSING
202,283,widget-put,fn,substrate/ui,MISSING
203,283,get-buffer-process,fn,substrate/ui,MISSING
204,282,move-to-column,fn,substrate/ui,MISSING
205,282,make-vector,fn,runtime,runtime-ok
206,276,search-backward,fn,substrate/ui,MISSING
207,275,symbol-function,fn,runtime,runtime-ok
208,273,move-marker,fn,substrate/ui,MISSING
209,272,write-region,fn,substrate/ui,source-unbootstrapped
210,271,region-end,fn,substrate/ui,MISSING
211,271,overlay-get,fn,substrate/ui,MISSING
212,270,make-overlay,fn,substrate/ui,MISSING
213,256,next-single-property-change,fn,substrate/ui,MISSING
214,252,make-marker,fn,substrate/ui,MISSING
215,251,directory-files,fn,runtime,runtime-ok
216,249,vectorp,fn,runtime,runtime-ok
217,245,delete-overlay,fn,substrate/ui,MISSING
218,243,cdr-safe,fn,runtime,source-unbootstrapped
219,242,window-height,fn,substrate/ui,MISSING
220,240,kill-local-variable,fn,substrate/ui,MISSING
221,238,ding,fn,substrate/ui,MISSING
222,237,intern-soft,fn,runtime,runtime-ok
223,234,process-status,fn,substrate/ui,MISSING
224,232,lookup-key,fn,substrate/ui,MISSING
225,227,overlay-start,fn,substrate/ui,MISSING
226,225,force-mode-line-update,fn,substrate/ui,MISSING
227,225,buffer-list,fn,substrate/ui,MISSING
228,222,window-frame,fn,substrate/ui,MISSING
229,218,recenter,fn,substrate/ui,MISSING
230,216,int-to-string,fn,runtime,MISSING
231,215,maphash,fn,runtime,runtime-ok
232,214,assoc-string,fn,runtime,MISSING
233,213,prin1-to-string,fn,runtime,runtime-ok
234,212,prin1,fn,runtime,runtime-ok
235,210,bufferp,fn,substrate/ui,source-unbootstrapped
236,208,frame-parameter,fn,substrate/ui,MISSING
237,206,read-from-minibuffer,fn,substrate/ui,MISSING
238,204,make-variable-buffer-local,fn,substrate/ui,MISSING
239,202,floor,fn,runtime,runtime-ok
240,201,search-forward-regexp,fn,substrate/ui,MISSING
241,198,window-width,fn,substrate/ui,MISSING
242,196,run-hook-with-args,fn,substrate/ui,MISSING
243,195,insert-char,fn,substrate/ui,MISSING
244,192,window-live-p,fn,substrate/ui,MISSING
245,191,overlay-end,fn,substrate/ui,MISSING
246,190,string-to-char,fn,runtime,source-unbootstrapped
