rank,call_freq,name,type,layer,nelisp_coverage
569,22,set-process-coding-system,fn,substrate/ui,MISSING
570,22,search-backward-regexp,fn,substrate/ui,MISSING
571,22,previous-single-char-property-change,fn,runtime,MISSING
572,22,next-property-change,fn,runtime,MISSING
573,22,memory-info,fn,runtime,MISSING
574,22,font-info,fn,runtime,MISSING
575,22,encode-char,fn,runtime,MISSING
576,22,char-table-extra-slot,fn,runtime,MISSING
577,22,base64-decode-string,fn,runtime,MISSING
578,21,window-pixel-width,fn,substrate/ui,MISSING
579,21,window-pixel-top,fn,substrate/ui,MISSING
580,21,window-normal-size,fn,substrate/ui,MISSING
581,21,window-new-normal,fn,substrate/ui,MISSING
582,21,unlock-file,fn,runtime,MISSING
583,21,rplaca,fn,runtime,MISSING
584,21,process-send-region,fn,substrate/ui,MISSING
585,21,process-id,fn,substrate/ui,MISSING
586,21,emacs-pid,fn,runtime,MISSING
587,21,downcase-region,fn,substrate/ui,MISSING
588,21,decode-char,fn,runtime,MISSING
589,21,clear-string,fn,runtime,MISSING
590,21,char-table-p,fn,runtime,MISSING
591,21,byte-code-function-p,fn,runtime,MISSING
592,20,window-pixel-left,fn,substrate/ui,MISSING
593,20,window-body-height,fn,substrate/ui,MISSING
594,20,take,fn,runtime,MISSING
595,20,setplist,fn,runtime,source-unbootstrapped
596,20,sequencep,fn,runtime,source-unbootstrapped
597,20,position-bytes,fn,runtime,MISSING
598,20,make-directory-internal,fn,runtime,MISSING
599,20,lognot,fn,runtime,source-unbootstrapped
600,20,lock-file,fn,runtime,MISSING
601,20,discard-input,fn,runtime,MISSING
602,20,default-boundp,fn,runtime,MISSING
603,20,charsetp,fn,runtime,MISSING
604,19,window-vscroll,fn,substrate/ui,MISSING
605,19,window-list-1,fn,substrate/ui,MISSING
606,19,this-single-command-keys,fn,substrate/ui,MISSING
607,19,posn-at-x-y,fn,runtime,MISSING
608,19,nlistp,fn,runtime,source-unbootstrapped
609,19,mouse-position,fn,substrate/ui,MISSING
610,19,file-name-concat,fn,runtime,MISSING
611,18,process-command,fn,substrate/ui,MISSING
612,18,org-file-name-concat,fn,runtime,MISSING
613,18,minibuffer-contents,fn,substrate/ui,MISSING
614,18,make-network-process,fn,runtime,MISSING
615,18,func-arity,fn,runtime,MISSING
616,18,frame-pixel-width,fn,substrate/ui,MISSING
617,18,eval-buffer,fn,substrate/ui,MISSING
618,18,char-charset,fn,runtime,MISSING
619,18,base64-decode-region,fn,substrate/ui,MISSING
620,18,autoload-do-load,fn,runtime,MISSING
621,17,window-margins,fn,substrate/ui,MISSING
622,17,window-fringes,fn,substrate/ui,MISSING
623,17,subr-name,fn,runtime,MISSING
624,17,sin,fn,runtime,MISSING
625,17,process-sentinel,fn,substrate/ui,MISSING
626,17,keymap-parent,fn,substrate/ui,MISSING
627,17,field-beginning,fn,runtime,MISSING
628,17,current-bidi-paragraph-direction,fn,runtime,MISSING
629,16,window-list,fn,substrate/ui,MISSING
630,16,treesit-available-p,fn,substrate/ui,MISSING
631,16,store-match-data,fn,substrate/ui,MISSING
632,16,set-fontset-font,fn,runtime,MISSING
633,16,rplacd,fn,runtime,MISSING
634,16,recursion-depth,fn,runtime,MISSING
635,16,next-overlay-change,fn,substrate/ui,MISSING
636,16,mouse-pixel-position,fn,substrate/ui,MISSING
637,16,mail-header-p,fn,runtime,MISSING
638,16,default-toplevel-value,fn,runtime,MISSING
639,16,constrain-to-field,fn,runtime,MISSING
640,16,capitalize-word,fn,runtime,MISSING
641,15,window-text-pixel-size,fn,substrate/ui,MISSING
642,15,window-text-height,fn,substrate/ui,MISSING
643,15,this-single-command-raw-keys,fn,substrate/ui,MISSING
644,15,test-completion,fn,runtime,MISSING
645,15,interrupt-process,fn,runtime,MISSING
646,15,insert-before-markers-and-inherit,fn,substrate/ui,MISSING
647,15,gnutls-available-p,fn,runtime,MISSING
648,15,garbage-collect,fn,runtime,MISSING
649,15,frame-first-window,fn,substrate/ui,MISSING
650,15,current-time-zone,fn,runtime,MISSING
651,15,cos,fn,runtime,MISSING
652,15,check-coding-system,fn,substrate/ui,MISSING
653,15,charset-plist,fn,runtime,MISSING
654,14,upcase-region,fn,substrate/ui,MISSING
655,14,treesit-parser-list,fn,substrate/ui,MISSING
656,14,set-window-prev-buffers,fn,substrate/ui,MISSING
657,14,set-window-margins,fn,substrate/ui,MISSING
658,14,process-contact,fn,substrate/ui,MISSING
659,14,next-frame,fn,substrate/ui,MISSING
660,14,indirect-variable,fn,runtime,MISSING
661,14,abbrev-get,fn,runtime,MISSING
662,13,x-get-resource,fn,runtime,MISSING
663,13,unintern,fn,runtime,MISSING
664,13,treesit-search-subtree,fn,substrate/ui,MISSING
665,13,treesit-parser-root-node,fn,substrate/ui,MISSING
666,13,treesit-node-next-sibling,fn,substrate/ui,MISSING
667,13,treesit-node-first-child-for-pos,fn,substrate/ui,MISSING
668,13,top-level,fn,runtime,MISSING
669,13,terminal-live-p,fn,runtime,MISSING
670,13,set-text-conversion-style,fn,runtime,MISSING
671,13,process-list,fn,substrate/ui,MISSING
672,13,make-indirect-buffer,fn,substrate/ui,MISSING
673,13,make-frame-visible,fn,substrate/ui,MISSING
674,13,local-variable-if-set-p,fn,substrate/ui,MISSING
675,13,line-number-display-width,fn,substrate/ui,MISSING
676,13,frame-terminal,fn,substrate/ui,MISSING
677,13,frame-pixel-height,fn,substrate/ui,MISSING
678,13,equal-including-properties,fn,substrate/ui,source-unbootstrapped
679,13,command-remapping,fn,substrate/ui,MISSING
680,12,x-window-property,fn,substrate/ui,MISSING
681,12,visited-file-modtime,fn,runtime,MISSING
682,12,user-real-login-name,fn,runtime,MISSING
683,12,upcase-word,fn,runtime,MISSING
684,12,unicode-property-table-internal,fn,runtime,MISSING
685,12,unibyte-char-to-multibyte,fn,runtime,MISSING
686,12,this-command-keys-vector,fn,substrate/ui,MISSING
687,12,set-window-next-buffers,fn,substrate/ui,MISSING
688,12,set-window-new-pixel,fn,substrate/ui,MISSING
689,12,safe-length,fn,runtime,MISSING
690,12,recordp,fn,runtime,source-unbootstrapped
691,12,previous-window,fn,substrate/ui,MISSING
692,12,iconify-frame,fn,substrate/ui,MISSING
693,12,frame-parent,fn,substrate/ui,MISSING
694,12,field-end,fn,runtime,MISSING
695,12,clear-image-cache,fn,runtime,MISSING
696,12,char-or-string-p,fn,runtime,MISSING
697,12,base64-encode-region,fn,substrate/ui,MISSING
698,11,x-change-window-property,fn,substrate/ui,MISSING
699,11,window-configuration-p,fn,substrate/ui,MISSING
700,11,window-combination-limit,fn,substrate/ui,MISSING
701,11,treesit-node-eq,fn,substrate/ui,MISSING
702,11,terminal-coding-system,fn,substrate/ui,MISSING
703,11,special-variable-p,fn,runtime,MISSING
704,11,scroll-right,fn,substrate/ui,MISSING
705,11,overlay-lists,fn,substrate/ui,MISSING
706,11,max-char,fn,runtime,MISSING
707,11,internal-char-font,fn,runtime,MISSING
708,11,fmakunbound,fn,runtime,source-unbootstrapped
709,11,face-font,fn,substrate/ui,MISSING
710,11,downcase-word,fn,runtime,MISSING
711,11,coding-system-plist,fn,substrate/ui,MISSING
712,10,window-next-buffers,fn,substrate/ui,MISSING
713,10,window-left-child,fn,substrate/ui,MISSING
714,10,unlock-buffer,fn,substrate/ui,MISSING
715,10,set-window-new-total,fn,substrate/ui,MISSING
716,10,scroll-left,fn,substrate/ui,MISSING
717,10,previous-overlay-change,fn,substrate/ui,MISSING
718,10,next-char-property-change,fn,runtime,MISSING
719,10,interpreted-function-p,fn,runtime,MISSING
720,10,group-name,fn,runtime,MISSING
721,10,get-pos-property,fn,runtime,MISSING
722,10,get-load-suffixes,fn,runtime,MISSING
723,10,current-active-maps,fn,runtime,MISSING
724,9,x-send-client-message,fn,runtime,MISSING
725,9,window-top-child,fn,substrate/ui,MISSING
726,9,window-prev-sibling,fn,substrate/ui,MISSING
727,9,window-new-pixel,fn,substrate/ui,MISSING
728,9,window-header-line-height,fn,substrate/ui,MISSING
729,9,treesit-node-match-p,fn,substrate/ui,MISSING
730,9,sxhash,fn,runtime,source-unbootstrapped
731,9,subr-arity,fn,runtime,MISSING
732,9,string-collate-lessp,fn,runtime,MISSING
733,9,standard-case-table,fn,runtime,MISSING
734,9,sqlite-select,fn,runtime,MISSING
735,9,set-default-file-modes,fn,runtime,MISSING
736,9,secure-hash,fn,runtime,MISSING
737,9,run-hook-with-args-until-failure,fn,substrate/ui,MISSING
738,9,recent-keys,fn,runtime,MISSING
739,9,point-at-eol,fn,substrate/ui,MISSING
740,9,native-comp-available-p,fn,runtime,MISSING
741,9,logb,fn,runtime,MISSING
742,9,libxml-parse-html-region,fn,substrate/ui,MISSING
743,9,get-char-property-and-overlay,fn,substrate/ui,MISSING
744,9,funcall-interactively,fn,substrate/ui,MISSING
745,9,frame-text-width,fn,substrate/ui,MISSING
746,9,frame-text-height,fn,substrate/ui,MISSING
747,9,epg--time-from-seconds,fn,runtime,MISSING
748,9,detect-coding-region,fn,substrate/ui,MISSING
749,9,define-fringe-bitmap,fn,runtime,MISSING
750,9,copy-hash-table,fn,runtime,MISSING
751,9,cl-type-of,fn,runtime,MISSING
752,9,closurep,fn,runtime,MISSING
753,9,call-last-kbd-macro,fn,runtime,MISSING
754,9,atan,fn,runtime,MISSING
755,8,window-valid-p,fn,substrate/ui,MISSING
756,8,window-text-width,fn,substrate/ui,MISSING
757,8,window-new-total,fn,substrate/ui,MISSING
758,8,upcase-initials,fn,runtime,MISSING
759,8,unibyte-string,fn,runtime,source-unbootstrapped
760,8,tty-type,fn,runtime,MISSING
761,8,symbol-with-pos-p,fn,runtime,MISSING
762,8,sxhash-eq,fn,runtime,source-unbootstrapped
763,8,string-version-lessp,fn,runtime,MISSING
764,8,signal-process,fn,runtime,MISSING
765,8,set-frame-width,fn,substrate/ui,MISSING
766,8,set-frame-selected-window,fn,substrate/ui,MISSING
767,8,process-type,fn,substrate/ui,MISSING
768,8,overlay-properties,fn,substrate/ui,MISSING
769,8,native-comp-function-p,fn,runtime,MISSING
770,8,font-shape-gstring,fn,runtime,MISSING
771,8,describe-vector,fn,runtime,MISSING
772,8,defining-kbd-macro,fn,runtime,MISSING
773,8,compare-buffer-substrings,fn,substrate/ui,MISSING
774,8,backward-prefix-chars,fn,substrate/ui,MISSING
775,7,x-register-dnd-atom,fn,runtime,MISSING
776,7,x-open-connection,fn,runtime,MISSING
777,7,x-list-fonts,fn,runtime,MISSING
778,7,x-get-atom-name,fn,runtime,MISSING
779,7,x-focus-frame,fn,substrate/ui,MISSING
780,7,x-display-pixel-width,fn,substrate/ui,MISSING
781,7,x-display-pixel-height,fn,substrate/ui,MISSING
782,7,window-tab-line-height,fn,substrate/ui,MISSING
783,7,treesit-search-forward,fn,substrate/ui,MISSING
784,7,treesit-query-language,fn,substrate/ui,MISSING
785,7,treesit-parser-language,fn,substrate/ui,MISSING
786,7,transpose-regions,fn,substrate/ui,MISSING
787,7,tramp-compat-set-file-times,fn,runtime,MISSING
788,7,tramp-compat-length>,fn,runtime,MISSING
789,7,tramp-compat-file-name-concat,fn,runtime,MISSING
790,7,tan,fn,runtime,MISSING
791,7,suspend-emacs,fn,runtime,MISSING
792,7,string-to-multibyte,fn,runtime,MISSING
793,7,string-bytes,fn,runtime,MISSING
794,7,set-mouse-position,fn,substrate/ui,MISSING
795,7,set-frame-size,fn,substrate/ui,MISSING
796,7,set-char-table-parent,fn,runtime,MISSING
797,7,replace-buffer-contents,fn,substrate/ui,MISSING
798,7,process-tty-name,fn,substrate/ui,MISSING
799,7,process-query-on-exit-flag,fn,substrate/ui,MISSING
800,7,point-at-bol,fn,substrate/ui,MISSING
801,7,matching-paren,fn,runtime,MISSING
802,7,line-pixel-height,fn,runtime,MISSING
803,7,keyboard-coding-system,fn,substrate/ui,MISSING
804,7,image-flush,fn,runtime,MISSING
805,7,force-window-update,fn,substrate/ui,MISSING
806,7,fontset-list,fn,runtime,MISSING
807,7,fontp,fn,runtime,MISSING
808,7,fceiling,fn,runtime,MISSING
809,7,drop,fn,runtime,MISSING
810,7,cvs-cdr,fn,runtime,MISSING
811,7,coding-system-aliases,fn,substrate/ui,MISSING
812,7,cl-values,fn,runtime,MISSING
813,7,char-table-parent,fn,runtime,MISSING
814,7,bare-symbol,fn,runtime,MISSING
815,6,x-popup-dialog,fn,runtime,MISSING
816,6,x-get-selection-internal,fn,runtime,MISSING
817,6,window-line-height,fn,substrate/ui,MISSING
818,6,treesit-parser-set-included-ranges,fn,substrate/ui,MISSING
819,6,treesit-node-parser,fn,substrate/ui,MISSING
820,6,treesit-node-child-count,fn,substrate/ui,MISSING
821,6,treesit-induce-sparse-tree,fn,substrate/ui,MISSING
822,6,thread-live-p,fn,runtime,MISSING
823,6,text-quoting-style,fn,runtime,MISSING
824,6,stop-process,fn,runtime,MISSING
825,6,set-buffer-major-mode,fn,substrate/ui,MISSING
826,6,redraw-display,fn,substrate/ui,MISSING
827,6,recent-auto-save-p,fn,runtime,MISSING
828,6,read-variable,fn,runtime,MISSING
829,6,process-plist,fn,substrate/ui,MISSING
830,6,process-coding-system,fn,substrate/ui,MISSING
831,6,ntake,fn,runtime,MISSING
832,6,multibyte-char-to-unibyte,fn,runtime,MISSING
833,6,message-box,fn,runtime,MISSING
834,6,marker-insertion-type,fn,substrate/ui,MISSING
835,6,last-nonminibuffer-frame,fn,substrate/ui,MISSING
836,6,imagep,fn,runtime,MISSING
837,6,hash-table-size,fn,runtime,MISSING
838,6,frame-or-buffer-changed-p,fn,substrate/ui,MISSING
839,6,find-operation-coding-system,fn,substrate/ui,MISSING
840,6,eval-region,fn,substrate/ui,MISSING
841,6,end-kbd-macro,fn,runtime,MISSING
842,6,command-modes,fn,substrate/ui,MISSING
843,6,clear-this-command-keys,fn,substrate/ui,MISSING
844,6,clear-face-cache,fn,substrate/ui,MISSING
845,6,char-table-range,fn,runtime,MISSING
846,6,byte-to-position,fn,runtime,MISSING
847,6,byteorder,fn,runtime,MISSING
848,6,byte-code,fn,runtime,MISSING
849,6,add-variable-watcher,fn,runtime,MISSING
850,5,x-display-list,fn,substrate/ui,MISSING
851,5,x-begin-drag,fn,runtime,MISSING
852,5,window-scroll-bar-width,fn,substrate/ui,MISSING
853,5,window-scroll-bars,fn,substrate/ui,MISSING
854,5,window-display-table,fn,substrate/ui,MISSING
855,5,unencodable-char-position,fn,runtime,MISSING
856,5,tty-top-frame,fn,substrate/ui,MISSING
857,5,tty-display-color-p,fn,substrate/ui,MISSING
858,5,treesit-parser-included-ranges,fn,substrate/ui,MISSING
859,5,treesit-node-check,fn,substrate/ui,MISSING
860,5,terminal-list,fn,runtime,MISSING
861,5,start-kbd-macro,fn,runtime,MISSING
862,5,sqlite-execute,fn,runtime,MISSING
863,5,set-window-display-table,fn,substrate/ui,MISSING
864,5,redraw-frame,fn,substrate/ui,MISSING
865,5,read-command,fn,substrate/ui,MISSING
866,5,quit-process,fn,runtime,MISSING
867,5,query-fontset,fn,runtime,MISSING
868,5,other-window-for-scrolling,fn,substrate/ui,MISSING
869,5,optimize-char-table,fn,runtime,MISSING
870,5,old-selected-window,fn,substrate/ui,MISSING
871,5,object-intervals,fn,runtime,MISSING
872,5,make-bool-vector,fn,runtime,source-unbootstrapped
873,5,load-average,fn,runtime,MISSING
874,5,length<,fn,runtime,MISSING
875,5,keymap-prompt,fn,substrate/ui,MISSING
876,5,isnan,fn,runtime,MISSING
877,5,getenv-internal,fn,runtime,MISSING
878,5,font-xlfd-name,fn,runtime,MISSING
879,5,face-attribute-relative-p,fn,substrate/ui,MISSING
880,5,do-auto-save,fn,runtime,MISSING
881,5,display-supports-face-attributes-p,fn,substrate/ui,MISSING
882,5,current-idle-time,fn,runtime,MISSING
883,5,comp-el-to-eln-filename,fn,runtime,MISSING
884,5,coding-system-put,fn,substrate/ui,MISSING
885,5,coding-system-priority-list,fn,substrate/ui,MISSING
886,5,acos,fn,runtime,MISSING
887,4,zlib-available-p,fn,runtime,MISSING
888,4,x-server-version,fn,runtime,MISSING
889,4,x-server-vendor,fn,runtime,MISSING
890,4,x-parse-geometry,fn,runtime,MISSING
891,4,x-display-set-last-user-time,fn,substrate/ui,MISSING
892,4,x-display-grayscale-p,fn,substrate/ui,MISSING
893,4,window-use-time,fn,substrate/ui,MISSING
894,4,window-resize-apply,fn,substrate/ui,MISSING
895,4,window-parameters,fn,substrate/ui,MISSING
896,4,visible-frame-list,fn,substrate/ui,MISSING
897,4,variable-binding-locus,fn,substrate/ui,MISSING
898,4,treesit-pattern-expand,fn,substrate/ui,MISSING
899,4,treesit-parser-delete,fn,substrate/ui,MISSING
900,4,treesit-language-available-p,fn,substrate/ui,MISSING
901,4,tramp-compat-length=,fn,runtime,MISSING
902,4,tramp-compat-length<,fn,runtime,MISSING
903,4,terminal-name,fn,runtime,MISSING
904,4,string-to-unibyte,fn,runtime,MISSING
905,4,set-frame-height,fn,substrate/ui,MISSING
906,4,set-category-table,fn,substrate/ui,MISSING
907,4,send-string,fn,runtime,MISSING
908,4,profiler-memory-running-p,fn,runtime,MISSING
909,4,profiler-cpu-running-p,fn,runtime,MISSING
910,4,previous-char-property-change,fn,runtime,MISSING
911,4,pdumper-stats,fn,runtime,MISSING
912,4,overlay-recenter,fn,substrate/ui,MISSING
913,4,obarray-clear,fn,runtime,MISSING
914,4,network-interface-list,fn,substrate/ui,MISSING
915,4,native-comp-unit-file,fn,runtime,MISSING
916,4,minibuffer-contents-no-properties,fn,substrate/ui,MISSING
917,4,make-interpreted-closure,fn,runtime,MISSING
918,4,logcount,fn,runtime,MISSING
919,4,lock-buffer,fn,substrate/ui,MISSING
920,4,libxml-parse-xml-region,fn,substrate/ui,MISSING
921,4,internal-make-var-non-special,fn,runtime,MISSING
922,4,hash-table-test,fn,runtime,MISSING
923,4,group-gid,fn,runtime,MISSING
924,4,frame-native-width,fn,substrate/ui,MISSING
925,4,frame-native-height,fn,substrate/ui,MISSING
926,4,format-network-address,fn,runtime,MISSING
927,4,field-string,fn,runtime,MISSING
928,4,ffloor,fn,runtime,MISSING
929,4,face-attributes-as-vector,fn,substrate/ui,MISSING
930,4,event-convert-list,fn,substrate/ui,MISSING
931,4,detect-coding-string,fn,substrate/ui,MISSING
932,4,delete-all-overlays,fn,substrate/ui,MISSING
933,4,current-input-mode,fn,runtime,MISSING
934,4,coordinates-in-window-p,fn,substrate/ui,MISSING
935,4,charset-after,fn,runtime,MISSING
936,4,byte-to-string,fn,runtime,MISSING
937,4,buffer-swap-text,fn,substrate/ui,MISSING
938,4,buffer-hash,fn,substrate/ui,MISSING
939,4,bool-vector,fn,runtime,source-unbootstrapped
940,4,backtrace-debug,fn,runtime,MISSING
941,4,asin,fn,runtime,MISSING
942,4,ad-lambdafy,fn,runtime,MISSING
943,3,x-show-tip,fn,runtime,MISSING
944,3,x-hide-tip,fn,runtime,MISSING
945,3,x-get-local-selection,fn,runtime,MISSING
946,3,window-scroll-bar-height,fn,substrate/ui,MISSING
947,3,window-right-divider-width,fn,substrate/ui,MISSING
948,3,window-mode-line-height,fn,substrate/ui,MISSING
949,3,window-bottom-divider-width,fn,substrate/ui,MISSING
950,3,window-at,fn,substrate/ui,MISSING
951,3,waiting-for-user-input-p,fn,runtime,MISSING
952,3,user-real-uid,fn,runtime,MISSING
953,3,tty-no-underline,fn,runtime,MISSING
954,3,treesit-subtree-stat,fn,substrate/ui,MISSING
955,3,treesit-query-expand,fn,substrate/ui,MISSING
956,3,treesit-parser-buffer,fn,substrate/ui,MISSING
957,3,treesit-node-p,fn,substrate/ui,MISSING
958,3,treesit-node-field-name-for-child,fn,substrate/ui,MISSING
959,3,treesit-node-descendant-for-range,fn,substrate/ui,MISSING
960,3,tramp-compat-ntake,fn,runtime,MISSING
961,3,tramp-compat-directory-files,fn,runtime,MISSING
962,3,time-to-seconds,fn,runtime,MISSING
963,3,tab-bar-height,fn,runtime,MISSING
964,3,syntax-table-p,fn,substrate/ui,MISSING
965,3,sqlite-pragma,fn,runtime,MISSING
966,3,set-input-mode,fn,runtime,MISSING
967,3,set-input-meta-mode,fn,runtime,MISSING
968,3,set-coding-system-priority,fn,substrate/ui,MISSING
969,3,set-case-table,fn,runtime,MISSING
970,3,set-buffer-auto-saved,fn,substrate/ui,MISSING
971,3,serial-process-configure,fn,substrate/ui,MISSING
972,3,remove-pos-from-symbol,fn,runtime,MISSING
973,3,register-ccl-program,fn,runtime,MISSING
974,3,redirect-frame-focus,fn,substrate/ui,MISSING
975,3,profiler-memory-stop,fn,runtime,MISSING
976,3,profiler-memory-start,fn,runtime,MISSING
977,3,profiler-memory-log,fn,runtime,MISSING
978,3,profiler-cpu-stop,fn,runtime,MISSING
979,3,profiler-cpu-start,fn,runtime,MISSING
980,3,profiler-cpu-log,fn,runtime,MISSING
981,3,process-thread,fn,substrate/ui,MISSING
982,3,org-get-buffer-create,fn,substrate/ui,MISSING
983,3,org-buffer-hash,fn,substrate/ui,MISSING
984,3,next-read-file-uses-dialog-p,fn,runtime,MISSING
985,3,native-elisp-load,fn,runtime,MISSING
986,3,minor-mode-key-binding,fn,substrate/ui,MISSING
987,3,menu-bar-menu-at-x-y,fn,runtime,MISSING
988,3,memory-use-counts,fn,runtime,MISSING
989,3,mapbacktrace,fn,runtime,MISSING
990,3,make-category-table,fn,substrate/ui,MISSING
991,3,make-byte-code,fn,runtime,MISSING
992,3,long-line-optimizations-p,fn,runtime,MISSING
993,3,locate-file-internal,fn,runtime,MISSING
994,3,ldexp,fn,runtime,MISSING
995,3,keymap--get-keyelt,fn,substrate/ui,MISSING
996,3,internal-show-cursor,fn,runtime,MISSING
997,3,internal-set-lisp-face-attribute,fn,substrate/ui,MISSING
998,3,internal-lisp-face-p,fn,substrate/ui,MISSING
999,3,internal-lisp-face-attribute-values,fn,substrate/ui,MISSING
1000,3,insert-byte,fn,substrate/ui,MISSING
1001,3,image-transforms-p,fn,runtime,MISSING
1002,3,gnus-data-find-in,fn,runtime,MISSING
1003,3,function-equal,fn,runtime,MISSING
1004,3,ftruncate,fn,runtime,MISSING
1005,3,fround,fn,runtime,MISSING
1006,3,frame-text-cols,fn,substrate/ui,MISSING
1007,3,frame-scroll-bar-width,fn,substrate/ui,MISSING
1008,3,frame-right-divider-width,fn,substrate/ui,MISSING
1009,3,frame-position,fn,substrate/ui,MISSING
1010,3,frame-internal-border-width,fn,substrate/ui,MISSING
1011,3,frame-fringe-width,fn,substrate/ui,MISSING
1012,3,font-has-char-p,fn,runtime,MISSING
1013,3,font-get-glyphs,fn,runtime,MISSING
1014,3,field-string-no-properties,fn,runtime,MISSING
1015,3,delete-terminal,fn,runtime,MISSING
1016,3,define-hash-table-test,fn,runtime,MISSING
1017,3,dbus-get-unique-name,fn,runtime,MISSING
1018,3,copy-tramp-file-name,fn,runtime,MISSING
1019,3,continue-process,fn,runtime,MISSING
1020,3,char-table-subtype,fn,runtime,MISSING
1021,3,category-table,fn,substrate/ui,MISSING
1022,3,car-less-than-car,fn,runtime,MISSING
1023,3,capitalize-region,fn,substrate/ui,MISSING
1024,3,button--area-button-string,fn,runtime,MISSING
1025,3,buffer-text-pixel-size,fn,substrate/ui,MISSING
1026,3,bool-vector-p,fn,runtime,source-unbootstrapped
1027,3,backtrace-eval,fn,runtime,MISSING
1028,2,x-select-font,fn,runtime,MISSING
1029,2,x-get-modifier-masks,fn,runtime,MISSING
1030,2,x-display-mm-width,fn,substrate/ui,MISSING
1031,2,x-display-mm-height,fn,substrate/ui,MISSING
1032,2,x-display-color-cells,fn,substrate/ui,MISSING
1033,2,window-top-line,fn,substrate/ui,MISSING
1034,2,window-old-pixel-height,fn,substrate/ui,MISSING
1035,2,window-left-column,fn,substrate/ui,MISSING
1036,2,window-configuration-frame,fn,substrate/ui,MISSING
1037,2,window-bump-use-time,fn,substrate/ui,MISSING
1038,2,upcase-initials-region,fn,substrate/ui,MISSING
1039,2,unix-sync,fn,runtime,MISSING
1040,2,treesit-parser-p,fn,substrate/ui,MISSING
1041,2,treesit-parser-notifiers,fn,substrate/ui,MISSING
1042,2,treesit-parser-add-notifier,fn,substrate/ui,MISSING
1043,2,treesit-node-string,fn,substrate/ui,MISSING
1044,2,tramp-compat-take,fn,runtime,MISSING
1045,2,tramp-compat-set-file-modes,fn,runtime,MISSING
1046,2,tool-bar-pixel-width,fn,runtime,MISSING
1047,2,tool-bar-height,fn,runtime,MISSING
1048,2,thread-name,fn,runtime,MISSING
1049,2,system-users,fn,runtime,MISSING
1050,2,symbol-with-pos-pos,fn,runtime,MISSING
1051,2,sxhash-equal,fn,runtime,source-unbootstrapped
1052,2,suspend-tty,fn,runtime,MISSING
1053,2,subr-native-lambda-list,fn,runtime,MISSING
1054,2,subr-native-comp-unit,fn,runtime,MISSING
1055,2,string-distance,fn,runtime,MISSING
1056,2,sqlite-open,fn,runtime,MISSING
1057,2,sqlite-available-p,fn,runtime,MISSING
1058,2,Snarf-documentation,fn,runtime,MISSING
1059,2,signal-names,fn,runtime,MISSING
1060,2,set-terminal-coding-system-internal,fn,substrate/ui,MISSING
1061,2,set-standard-case-table,fn,runtime,MISSING
1062,2,set-process-plist,fn,substrate/ui,MISSING
1063,2,set-network-process-option,fn,substrate/ui,MISSING
1064,2,set-keyboard-coding-system-internal,fn,substrate/ui,MISSING
1065,2,secure-hash-algorithms,fn,runtime,MISSING
1066,2,remove-variable-watcher,fn,runtime,MISSING
1067,2,read-positioning-symbols,fn,runtime,MISSING
1068,2,query-font,fn,runtime,MISSING
1069,2,previous-property-change,fn,runtime,MISSING
1070,2,previous-frame,fn,substrate/ui,MISSING
1071,2,posix-string-match,fn,runtime,MISSING
1072,2,position-symbol,fn,runtime,MISSING
1073,2,org-string-distance,fn,runtime,MISSING
1074,2,org-replace-buffer-contents,fn,substrate/ui,MISSING
1075,2,num-processors,fn,runtime,MISSING
1076,2,new-fontset,fn,runtime,MISSING
1077,2,move-point-visually,fn,substrate/ui,MISSING
1078,2,menu-or-popup-active-p,fn,runtime,MISSING
1079,2,match-data--translate,fn,substrate/ui,MISSING
1080,2,marker-last-position,fn,substrate/ui,MISSING
1081,2,map--plist-member,fn,runtime,MISSING
1082,2,map-keymap-internal,fn,substrate/ui,MISSING
1083,2,make-terminal-frame,fn,substrate/ui,MISSING
1084,2,make-temp-file-internal,fn,runtime,MISSING
1085,2,make-pipe-process,fn,runtime,MISSING
1086,2,make-frame-invisible,fn,substrate/ui,MISSING
1087,2,locale-info,fn,runtime,MISSING
1088,2,libxml-available-p,fn,runtime,MISSING
1089,2,json-parse-buffer,fn,substrate/ui,MISSING
1090,2,internal--define-uninitialized-variable,fn,runtime,MISSING
1091,2,image-mask-p,fn,runtime,MISSING
1092,2,gnutls-peer-status,fn,runtime,MISSING
1093,2,gnutls-errorp,fn,runtime,MISSING
1094,2,gnutls-ciphers,fn,runtime,MISSING
1095,2,frexp,fn,runtime,MISSING
1096,2,frame-text-lines,fn,substrate/ui,MISSING
1097,2,frame--face-hash-table,fn,substrate/ui,MISSING
1098,2,frame-bottom-divider-width,fn,substrate/ui,MISSING
1099,2,font-put,fn,runtime,MISSING
1100,2,font-family-list,fn,runtime,MISSING
1101,2,find-composition-internal,fn,runtime,MISSING
1102,2,find-charset-region,fn,substrate/ui,MISSING
1103,2,eieio--class-constructor,fn,runtime,MISSING
1104,2,dump-emacs-portable,fn,runtime,MISSING
1105,2,delete-other-windows-internal,fn,substrate/ui,MISSING
1106,2,current-case-table,fn,runtime,MISSING
1107,2,copy-comp-mvar,fn,runtime,MISSING
1108,2,compose-string-internal,fn,runtime,MISSING
1109,2,comp-el-to-eln-rel-filename,fn,runtime,MISSING
1110,2,clear-font-cache,fn,runtime,MISSING
1111,2,cl--block-wrapper,fn,runtime,MISSING
1112,2,chmod,fn,runtime,MISSING
